[EE__x(t) = .008602, EE__y(t) = .64604556746, EE__angle(t) = -.1106280091]
[EE__x(t) = .00839, EE__y(t) = .64568083491, EE__angle(t) = -.1119347015]
[EE__x(t) = .008319, EE__y(t) = .64531042235, EE__angle(t) = -.1134467491]
[EE__x(t) = .008386, EE__y(t) = .6449334398, EE__angle(t) = -.1151565746]
[EE__x(t) = .008595, EE__y(t) = .64454955724, EE__angle(t) = -.1170351457]
[EE__x(t) = .008942, EE__y(t) = .64415767469, EE__angle(t) = -.1190415344]
[EE__x(t) = .009425, EE__y(t) = .64375665213, EE__angle(t) = -.1211106318]
[EE__x(t) = .010045, EE__y(t) = .64334627958, EE__angle(t) = -.1231695463]
[EE__x(t) = .010799, EE__y(t) = .64292541402, EE__angle(t) = -.1251510112]
[EE__x(t) = .011686, EE__y(t) = .64249398447, EE__angle(t) = -.1269917528]
[EE__x(t) = .012704, EE__y(t) = .64205265191, EE__angle(t) = -.1286399011]
[EE__x(t) = .013852, EE__y(t) = .64160221936, EE__angle(t) = -.1300514994]
[EE__x(t) = .015126, EE__y(t) = .6411440268, EE__angle(t) = -.1312047066]
[EE__x(t) = .016521, EE__y(t) = .64067764425, EE__angle(t) = -.1320903602]
[EE__x(t) = .018039, EE__y(t) = .64020236169, EE__angle(t) = -.1327266093]
[EE__x(t) = .019672, EE__y(t) = .63971728914, EE__angle(t) = -.1331441205]
[EE__x(t) = .021419, EE__y(t) = .63922329659, EE__angle(t) = -.1333889636]
[EE__x(t) = .023283, EE__y(t) = .63872104403, EE__angle(t) = -.1335151477]
[EE__x(t) = .025255, EE__y(t) = .63820995148, EE__angle(t) = -.1335905223]
[EE__x(t) = .027336, EE__y(t) = .63768725892, EE__angle(t) = -.1336883942]
[EE__x(t) = .029515, EE__y(t) = .63714892637, EE__angle(t) = -.133884709]
[EE__x(t) = .031794, EE__y(t) = .63659307381, EE__angle(t) = -.1342547058]
[EE__x(t) = .034173, EE__y(t) = .63602508126, EE__angle(t) = -.1348639351]
[EE__x(t) = .036654, EE__y(t) = .6354467887, EE__angle(t) = -.1357722529]
[EE__x(t) = .039236, EE__y(t) = .63486809615, EE__angle(t) = -.1370267355]
[EE__x(t) = .041917, EE__y(t) = .63429100359, EE__angle(t) = -.1386668467]
[EE__x(t) = .044694, EE__y(t) = .63371381104, EE__angle(t) = -.1407145892]
[EE__x(t) = .047567, EE__y(t) = .63313461848, EE__angle(t) = -.143182206]
[EE__x(t) = .050535, EE__y(t) = .63254787593, EE__angle(t) = -.1460618314]
[EE__x(t) = .05359, EE__y(t) = .63195233338, EE__angle(t) = -.149335821]
[EE__x(t) = .056728, EE__y(t) = .63135104082, EE__angle(t) = -.1529719013]
[EE__x(t) = .05995, EE__y(t) = .63074654827, EE__angle(t) = -.1569300519]
[EE__x(t) = .063252, EE__y(t) = .63014620571, EE__angle(t) = -.1611559103]
[EE__x(t) = .066639, EE__y(t) = .62955146316, EE__angle(t) = -.1655888494]
[EE__x(t) = .070108, EE__y(t) = .6289616706, EE__angle(t) = -.1701619527]
[EE__x(t) = .073658, EE__y(t) = .62837477805, EE__angle(t) = -.1748060884]
[EE__x(t) = .077289, EE__y(t) = .62778418549, EE__angle(t) = -.1794524653]
[EE__x(t) = .080995, EE__y(t) = .62718579294, EE__angle(t) = -.184031582]
[EE__x(t) = .084772, EE__y(t) = .62657780038, EE__angle(t) = -.1884690651]
[EE__x(t) = .088619, EE__y(t) = .62595950783, EE__angle(t) = -.1926912189]
[EE__x(t) = .092537, EE__y(t) = .62533851527, EE__angle(t) = -.1966386008]
[EE__x(t) = .096522, EE__y(t) = .62471830272, EE__angle(t) = -.2002563719]
[EE__x(t) = .100574, EE__y(t) = .62410013016, EE__angle(t) = -.203486451]
[EE__x(t) = .104686, EE__y(t) = .62348303761, EE__angle(t) = -.206272715]
[EE__x(t) = .108859, EE__y(t) = .62286444506, EE__angle(t) = -.2085773409]
[EE__x(t) = .113092, EE__y(t) = .6222440525, EE__angle(t) = -.2103697117]
[EE__x(t) = .117385, EE__y(t) = .62162805995, EE__angle(t) = -.211622613]
[EE__x(t) = .121736, EE__y(t) = .62101834739, EE__angle(t) = -.2123129745]
[EE__x(t) = .126144, EE__y(t) = .62041717484, EE__angle(t) = -.212434751]
[EE__x(t) = .130603, EE__y(t) = .61982018228, EE__angle(t) = -.2119892154]
[EE__x(t) = .135108, EE__y(t) = .61922508973, EE__angle(t) = -.2109844037]
[EE__x(t) = .139654, EE__y(t) = .61862919717, EE__angle(t) = -.2094324662]
[EE__x(t) = .144232, EE__y(t) = .61803380462, EE__angle(t) = -.2073553077]
[EE__x(t) = .148842, EE__y(t) = .61744151206, EE__angle(t) = -.2047797384]
[EE__x(t) = .15348, EE__y(t) = .61685438951, EE__angle(t) = -.2017406056]
[EE__x(t) = .158144, EE__y(t) = .61627232695, EE__angle(t) = -.1982760292]
[EE__x(t) = .162834, EE__y(t) = .6156944644, EE__angle(t) = -.1944262616]
[EE__x(t) = .167552, EE__y(t) = .61512064184, EE__angle(t) = -.1902320043]
[EE__x(t) = .172294, EE__y(t) = .61455174929, EE__angle(t) = -.1857320824]
[EE__x(t) = .177059, EE__y(t) = .61398981674, EE__angle(t) = -.1809647255]
[EE__x(t) = .181844, EE__y(t) = .61343646418, EE__angle(t) = -.1759686533]
[EE__x(t) = .186647, EE__y(t) = .61289037163, EE__angle(t) = -.1707810738]
[EE__x(t) = .191468, EE__y(t) = .61234937907, EE__angle(t) = -.1654293274]
[EE__x(t) = .196309, EE__y(t) = .61181160352, EE__angle(t) = -.1599371587]
[EE__x(t) = .201165, EE__y(t) = .61127579396, EE__angle(t) = -.1543281656]
[EE__x(t) = .206037, EE__y(t) = .61074290141, EE__angle(t) = -.1486260068]
[EE__x(t) = .210927, EE__y(t) = .61021482885, EE__angle(t) = -.142854995]
[EE__x(t) = .215829, EE__y(t) = .6096926623, EE__angle(t) = -.1370392561]
[EE__x(t) = .220742, EE__y(t) = .60917686374, EE__angle(t) = -.1312004408]
[EE__x(t) = .225669, EE__y(t) = .60866692119, EE__angle(t) = -.1253617248]
[EE__x(t) = .230602, EE__y(t) = .60816174863, EE__angle(t) = -.1195604197]
[EE__x(t) = .235546, EE__y(t) = .60766040608, EE__angle(t) = -.1138389059]
[EE__x(t) = .240498, EE__y(t) = .60716248353, EE__angle(t) = -.1082392892]
[EE__x(t) = .24546, EE__y(t) = .60666777097, EE__angle(t) = -.1028046114]
[EE__x(t) = .250431, EE__y(t) = .60617610242, EE__angle(t) = -.09758397504]
[EE__x(t) = .255412, EE__y(t) = .60568741186, EE__angle(t) = -.09262758755]
[EE__x(t) = .260402, EE__y(t) = .60520176031, EE__angle(t) = -.08797930258]
[EE__x(t) = .265399, EE__y(t) = .60471924075, EE__angle(t) = -.08367854616]
